>NC_058066.1
start	end
2086266	2086276
2109438	2109450
2124194	2124210
2126229	2126245
2128068	2128080
2130442	2130471
2134398	2134420
2136797	2136813
2155996	2156014
2162750	2162769
2165280	2165302
2166089	2166102
2170458	2170472
2173316	2173329
2180776	2180782
2180784	2180789
2182050	2182063
2183239	2183254
2184091	2184103
2184317	2184331
2184652	2184658
2186820	2186825
2225754	2225768
2225994	2226010
2226100	2226116
2229783	2229799
2233083	2233096
2238280	2238294
2239451	2239464
2239528	2239545
2246168	2246184
2251410	2251431
2252697	2252713
2258083	2258101
2258191	2258203
2258752	2258766
2267156	2267172
2268886	2268900
2283088	2283097
2284201	2284215
2285078	2285095
2285379	2285394
2307050	2307068
2307983	2307997
2314346	2314366
2322263	2322271
2322302	2322323
2337897	2337918
2340472	2340477
2340483	2340488
2355872	2355887
2359393	2359406
2366106	2366122
2371027	2371043
2376528	2376540
2388569	2388584
2388908	2388921
2400066	2400085
2400507	2400521
2401004	2401019
2414526	2414545
2417327	2417343
2420884	2420901
2422730	2422744
2424830	2424846
2437472	2437486
2438497	2438513
2439298	2439314
2441009	2441023
2451873	2451888
2462632	2462639
2465616	2465623
2470862	2470877
2478703	2478717
2479800	2479816
2480209	2480223
2481094	2481107
2489511	2489526
2493599	2493613
2493641	2493658
2494019	2494035
2497781	2497786
2500565	2500577
2507990	2508006
2525449	2525464
2547050	2547066
2554559	2554576
2568094	2568111
2570028	2570043
2570277	2570284
2582841	2582861
2583363	2583380
2596309	2596326
2597512	2597528
2605036	2605049
2614885	2614901
2616502	2616517
2617015	2617031
2628960	2628971
2633968	2633985
2643472	2643488
2648154	2648171
2654607	2654614
2657518	2657535
2658631	2658642
2676067	2676082
2685767	2685784
2691375	2691394
2692997	2693016
2700145	2700160
2715211	2715226
2720613	2720629
2723144	2723156
2723827	2723846
2733474	2733497
2733525	2733541
2746564	2746579
2753678	2753694
2755764	2755775
2758919	2758931
2766193	2766200
2788412	2788429
2788810	2788822
2788986	2789001
2790471	2790487
2793011	2793024
2794012	2794031
2794754	2794767
2796581	2796596
2805965	2805980
2816535	2816550
2819072	2819088
2828283	2828296
2829633	2829648
2830038	2830050
2834816	2834833
2835159	2835165
2835516	2835522
2835990	2836004
2838417	2838431
2862340	2862353
2868250	2868265
2868533	2868538
2875020	2875034
2875301	2875311
2881651	2881656
2881930	2881946
2882218	2882253
2889583	2889600
2891681	2891700
2900756	2900770
2906374	2906390
2906465	2906481
2930692	2930709
2939364	2939369
2953839	2953861
2955307	2955320
2976831	2976845
2978343	2978359
2978526	2978538
2978671	2978686
2980382	2980395
2982676	2982689
2985275	2985289
2987294	2987310
2987460	2987477
2999912	2999931
3004379	3004396
3004477	3004494
3004643	3004660
3008722	3008735
3010044	3010060
3014634	3014649
3023560	3023573
3025105	3025119
3042060	3042078
3050115	3050134
3050196	3050212
3057357	3057363
3067355	3067367
3072757	3072776
3074612	3074633
3077116	3077132
3077481	3077496
3084578	3084594
3084614	3084623
3085693	3085708
3087024	3087041
3090740	3090756
3113257	3113267
3128807	3128824
3136846	3136864
3136978	3136994
3138386	3138398
3138709	3138722
3139966	3139979
3141208	3141222
3159273	3159286
3165126	3165144
3166386	3166404
3167384	3167391
3167395	3167409
3167592	3167605
3170274	3170290
3174538	3174556
3176672	3176683
3177226	3177241
3180703	3180713
3184699	3184717
3196194	3196207
3196646	3196651
3200545	3200561
3201104	3201120
3213176	3213187
3213707	3213722
3213825	3213841
3221620	3221640
3222855	3222868
3225555	3225572
3230208	3230221
3237428	3237443
3237988	3238004
3246930	3246949
3249238	3249251
3266826	3266839
3283836	3283847
3285906	3285922
3286099	3286115
3292693	3292706
3293440	3293456
3297675	3297689
3301761	3301777
3301961	3301973
3303522	3303539
3304494	3304509
3314120	3314133
3314866	3314881
3315168	3315178
3315228	3315242
3321094	3321112
3321138	3321152
3324594	3324600
3324602	3324608
3324785	3324801
3325972	3325986
3332728	3332745
3333479	3333491
3338444	3338458
3357884	3357899
3362585	3362601
3373139	3373147
3373883	3373897
3374181	3374196
3374243	3374257
3378805	3378819
3388007	3388018
3389457	3389472
3392925	3392943
3393327	3393338
3397477	3397496
3404097	3404112
3404459	3404464
3405973	3405994
3406185	3406201
3420867	3420882
3424501	3424517
3435158	3435171
3436266	3436280
3436610	3436626
3442796	3442809
3443437	3443453
3454670	3454685
3459401	3459418
3460627	3460643
3460818	3460836
3462908	3462919
3473996	3474012
3480492	3480505
3498322	3498333
3508427	3508442
3508983	3508995
3511984	3512004
3515653	3515668
3517387	3517403
3520314	3520325
3520872	3520885
3522747	3522760
3527706	3527719
3527822	3527839
3535110	3535121
3535670	3535685
3539365	3539381
3540860	3540869
3541869	3541882
3542061	3542076
3543984	3544000
3544544	3544558
3551791	3551800
3559008	3559021
3559563	3559575
3562234	3562250
3563424	3563442
3566025	3566039
3566288	3566295
3566871	3566885
3568527	3568539
3571772	3571787
3573029	3573046
3593270	3593284
3595606	3595619
3596598	3596616
3596730	3596748
3596797	3596808
3597835	3597851
3604802	3604815
3605138	3605146
3605353	3605367
3607152	3607157
3607485	3607490
3609753	3609758
3622273	3622278
3623508	3623523
3638837	3638846
3638998	3639016
3641780	3641796
3645699	3645717
3647033	3647050
3648092	3648107
3648126	3648140
3653984	3653991
3654813	3654825
3655147	3655164
3656208	3656223
3656435	3656451
3656656	3656672
3658539	3658558
3659971	3659983
3671050	3671064
3682946	3682961
3683024	3683042
3691084	3691103
3700741	3700756
3708067	3708080
3709584	3709592
3709607	3709622
3718587	3718602
3723772	3723790
3725070	3725084
3729170	3729185
3729335	3729352
3729434	3729449
3733786	3733805
3752812	3752827
3752977	3752993
3754997	3755014
3755600	3755617
3762584	3762599
3762731	3762750
3762915	3762928
3764319	3764332
3764674	3764695
3785899	3785912
3787368	3787383
3801831	3801839
3810419	3810432
3810631	3810636
3830696	3830707
3837769	3837783
3882325	3882330
3882332	3882337
3892508	3892519
3903527	3903544
3907561	3907576
3921723	3921734
3932033	3932050
3949734	3949748
3953523	3953538
3980820	3980831
3982387	3982397
3996153	3996167
3996438	3996455
4005682	4005695
4006795	4006813
4024377	4024397
4028023	4028037
4028274	4028287
4031327	4031343
4032114	4032126
4036946	4036961
4047615	4047621
4048141	4048166
4057460	4057476
4057700	4057719
4060042	4060057
4074063	4074075
4075756	4075780
4081859	4081872
4087699	4087714
4111307	4111322
4119436	4119451
4129886	4129900
4157163	4157178
4158759	4158775
4158985	4159002
4172202	4172218
4189152	4189167
4198029	4198042
4214870	4214889
4215514	4215527
4241840	4241855
4246217	4246231
4246290	4246305
4261161	4261175
4263873	4263887
4267287	4267299
4267498	4267511
4267923	4267937
4271989	4272006
4279649	4279661
4286827	4286845
4287776	4287790
4288728	4288745
4296242	4296256
4307693	4307698
4308331	4308345
4314094	4314111
4320595	4320608
4324007	4324021
4326318	4326331
4333010	4333022
4333607	4333626
4341885	4341900
4361319	4361327
4405294	4405308
4406315	4406328
4407426	4407441
4409082	4409098
4409162	4409178
4415277	4415292
4415713	4415724
4435185	4435205
4435242	4435258
4435789	4435795
4437712	4437731
4446185	4446203
4456867	4456885
4472830	4472835
4473428	4473442
4485009	4485026
4490678	4490684
4493613	4493628
4493794	4493808
4493924	4493941
4495128	4495151
4508236	4508251
4523420	4523434
4530049	4530063
4549571	4549586
4551626	4551638
4553148	4553163
4566980	4566997
4567189	4567209
4570177	4570193
4586920	4586932
4610152	4610171
4647434	4647455
4651706	4651721
4651967	4651981
4653902	4653913
4659303	4659321
4668881	4668895
4671152	4671167
4677305	4677319
4678704	4678718
4680351	4680362
4683341	4683346
4686672	4686688
4692542	4692555
4694614	4694631
4700912	4700925
4707344	4707355
4708701	4708714
4712050	4712067
4712239	4712254
4713113	4713129
4717594	4717616
4720559	4720575
4722186	4722191
4726345	4726350
4733597	4733610
4736775	4736791
4737151	4737167
4737641	4737651
4739779	4739795
4741217	4741236
4758471	4758486
4758572	4758589
4759737	4759755
4759903	4759921
4762405	4762417
4763147	4763161
4769483	4769502
4792915	4792938
4803918	4803934
4804283	4804296
4806794	4806811
4808048	4808067
4808388	4808402
4815289	4815304
4815628	4815647
4818556	4818572
4829798	4829812
4854533	4854553
4854628	4854641
4858266	4858271
4858887	4858902
4861246	4861263
4861411	4861430
4862580	4862597
4862684	4862697
4881400	4881416
4884244	4884263
4884314	4884329
4884585	4884599
4885794	4885808
4886251	4886262
4888583	4888601
4889184	4889195
4896784	4896797
4898407	4898422
4901359	4901378
4906308	4906325
4906496	4906513
4910271	4910284
4911623	4911638
4913955	4913967
4915634	4915644
4918905	4918919
4921634	4921640
4925095	4925107
4927485	4927503
4933796	4933812
4935371	4935387
4946720	4946734
4952158	4952173
4966940	4966958
4974692	4974706
4974951	4974968
4976325	4976330
5015641	5015659
5024918	5024932
5026058	5026072
5026083	5026097
5027476	5027491
5031396	5031410
5043077	5043094
5044148	5044155
5045416	5045432
5054890	5054910
5055196	5055215
5055472	5055484
5056796	5056813
5081081	5081100
5092722	5092738
5102423	5102430
5110416	5110430
5111412	5111428
5133243	5133255
5137390	5137397
5149115	5149132
5158107	5158126
5163343	5163355
5173223	5173241
5176273	5176287
5177846	5177857
5239201	5239217
5242184	5242196
5244110	5244129
5245089	5245095
5247868	5247884
5249552	5249568
5249714	5249728
5252468	5252484
5252688	5252705
5252792	5252811
5256737	5256752
5262778	5262794
5276431	5276446
5286229	5286244
5286394	5286411
5293856	5293870
5303975	5303988
5304769	5304788
5309463	5309468
5309472	5309477
5309689	5309710
5310279	5310284
5310286	5310293
5315507	5315523
5316430	5316447
5317106	5317119
5318580	5318602
5322216	5322226
5323085	5323099
5328464	5328476
5331618	5331632
5332202	5332216
5334303	5334315
5335763	5335779
5341146	5341162
5344258	5344271
5356740	5356756
5387901	5387918
5389520	5389535
5391281	5391291
5392793	5392800
5392802	5392808
5398595	5398609
5401843	5401858
5402499	5402514
5409359	5409370
5420629	5420641
5420798	5420812
5421914	5421935
5422828	5422841
5431339	5431353
5433935	5433951
5435340	5435351
5435788	5435805
5444263	5444277
5446446	5446459
5447189	5447204
5447256	5447271
5453914	5453925
5454169	5454184
5472609	5472625
5472729	5472744
5474459	5474473
5476823	5476831
5480416	5480433
5480532	5480546
5481627	5481645
5487518	5487530
5488736	5488748
5513837	5513850
5514358	5514373
5514379	5514394
5518770	5518783
5521454	5521467
5524435	5524447
5527192	5527208
5529204	5529211
5529214	5529220
5530340	5530355
5532147	5532160
5542782	5542797
5546383	5546396
5546459	5546475
5546717	5546735
5554177	5554187
5561709	5561727
5569456	5569474
5570034	5570047
5590867	5590882
5598319	5598338
5598579	5598596
5598659	5598671
5601197	5601209
5602191	5602207
5615275	5615289
5645117	5645135
5645232	5645249
5649470	5649483
5652415	5652431
5654839	5654852
5654955	5654973
5655529	5655542
5659797	5659811
5673100	5673112
5675155	5675160
5679690	5679695
5679759	5679769
5682139	5682153
5690593	5690607
5691046	5691060
5692455	5692473
5694351	5694361
5695049	5695066
5708329	5708343
5709234	5709257
5710359	5710371
5720266	5720277
5728800	5728806
5733722	5733727
5733736	5733751
5735268	5735278
5739051	5739069
5770794	5770807
5775042	5775055
5786108	5786113
5792260	5792274
5797829	5797845
5806744	5806758
5807092	5807108
5807139	5807152
5807715	5807726
5818705	5818719
5819992	5820008
5822922	5822937
5825046	5825057
5825127	5825142
5825975	5825989
5834354	5834367
5857740	5857753
5858371	5858386
5859150	5859164
5875317	5875333
5884764	5884780
5884820	5884834
5884909	5884921
5901685	5901690
5904486	5904504
5911366	5911380
5931940	5931947
5933248	5933276
5935827	5935840
5938030	5938047
5938098	5938111
5943541	5943556
5952022	5952040
5952051	5952070
5952250	5952265
5953655	5953674
5954049	5954062
5959361	5959378
5965007	5965016
5966915	5966931
5973395	5973405
5978944	5978955
5992189	5992204
5996526	5996541
6010132	6010145
6014551	6014565
6033185	6033198
6035276	6035291
6040885	6040897
6044204	6044216
6056923	6056931
6070886	6070903
6076038	6076055
6076201	6076218
6077446	6077463
6077643	6077658
6077663	6077681
6077688	6077707
6091388	6091401
6091452	6091470
6096211	6096239
6097549	6097554
6099188	6099205
6125639	6125650
6135497	6135510
6135585	6135599
6135639	6135654
6136417	6136422
6138836	6138851
6139512	6139528
6139678	6139695
6163513	6163526
6185460	6185476
6186168	6186184
6186333	6186350
6197109	6197125
6198536	6198550
6215985	6216004
6222855	6222867
6226216	6226227
6227210	6227225
6227439	6227454
6227667	6227683
6228658	6228674
6246036	6246050
6246332	6246347
6255064	6255081
6256342	6256359
6259248	6259259
6286073	6286082
6303904	6303918
6318065	6318079
6320303	6320319
6322831	6322842
6323659	6323675
6333294	6333311
6336444	6336458
6338178	6338194
6345665	6345681
6353704	6353717
6359598	6359612
6360821	6360826
6361150	6361172
6363224	6363231
6363244	6363264
6389798	6389810
6390353	6390368
6393934	6393948
6396824	6396837
6397880	6397893
6411550	6411568
6412257	6412274
6415002	6415015
6415024	6415038
6417073	6417085
6422409	6422427
6422713	6422727
6423818	6423829
6432713	6432718
6432722	6432728
6440144	6440158
6440631	6440650
6441137	6441151
6442766	6442782
6446018	6446024
6453880	6453903
6459907	6459928
6460655	6460677
6461285	6461302
6466623	6466643
6467381	6467404
6468021	6468026
6473402	6473425
6475716	6475732
6476048	6476053
6478914	6478933
6479011	6479025
6479964	6479981
6481417	6481431
6491552	6491565
6491590	6491617
6496438	6496457
6498533	6498548
6498573	6498591
6503537	6503551
6514875	6514886
6522108	6522121
6527839	6527855
6533313	6533326
6533534	6533549
6535814	6535819
6538734	6538749
6540876	6540891
6547486	6547492
6559763	6559778
6561162	6561182
6567510	6567525
6569679	6569696
6588230	6588246
6592912	6592928
6595672	6595686
6596482	6596502
6596783	6596799
6603927	6603944
6612807	6612812
6625206	6625211
6626973	6626984
6627394	6627410
6632674	6632689
6635713	6635725
6650071	6650087
6650236	6650253
6666815	6666829
6693498	6693512
6693880	6693896
6699581	6699595
6700984	6701000
6707089	6707099
6708528	6708539
6711718	6711737
6712023	6712039
6727465	6727478
6730682	6730703
6736143	6736151
6736649	6736667
6749490	6749505
6751989	6752006
6752033	6752047
6752528	6752543
6752758	6752772
6752986	6753002
6754280	6754296
6754361	6754377
6754699	6754714
6755700	6755715
6759502	6759516
6760695	6760709
6769090	6769107
6770901	6770913
6784114	6784138
6792480	6792497
6795365	6795378
6808346	6808351
6808353	6808358
6814453	6814469
6814896	6814912
6823569	6823583
6824464	6824474
6838675	6838690
6845475	6845489
6845513	6845529
6845662	6845679
6850119	6850127
6864696	6864711
6864721	6864741
6864778	6864796
6869554	6869568
6870206	6870221
6870449	6870465
6882310	6882324
6887055	6887068
6888126	6888141
6893760	6893771
6908255	6908273
6908734	6908748
6911254	6911263
6911894	6911913
6911917	6911933
6911968	6911987
6912388	6912403
6912751	6912765
6915471	6915485
6915552	6915566
6920775	6920790
6920938	6920953
6937138	6937153
6938613	6938627
6942104	6942118
6957937	6957949
6973320	6973334
6983815	6983829
6985588	6985605
6991971	6991986
6997734	6997739
6997741	6997746
7015545	7015557
7022729	7022747
7033979	7033994
7048517	7048535
7049789	7049804
7058432	7058449
7061093	7061107
7062698	7062713
7063857	7063875
7064935	7064951
7066109	7066126
7067177	7067194
7072413	7072436
7096773	7096789
7102557	7102574
7109515	7109520
7109524	7109530
7136854	7136869
7146342	7146357
7146569	7146584
7152715	7152727
7157935	7157954
7169822	7169843
7180953	7180958
7182029	7182040
7185130	7185149
7186899	7186914
7187064	7187082
7187635	7187652
7194190	7194208
7199461	7199477
7204881	7204895
7232146	7232165
7237512	7237521
7239120	7239128
7240554	7240573
7251532	7251551
7253030	7253037
7260838	7260850
7260934	7260958
7271987	7271992
7274161	7274173
7277574	7277589
7284585	7284600
7288899	7288911
7290861	7290878
7293189	7293194
7293207	7293220
7294450	7294463
7299789	7299800
7305514	7305530
7306200	7306205
7311584	7311597
7311721	7311731
7316865	7316876
7320295	7320309
7320567	7320573
7320575	7320581
7320586	7320602
7329088	7329104
7338295	7338300
7350348	7350361
7359795	7359814
7360120	7360126
7368164	7368182
7369072	7369084
7374578	7374606
7374777	7374791
7374891	7374908
7376060	7376076
7376834	7376848
7377065	7377081
7378816	7378833
7379126	7379143
7380601	7380616
7382226	7382240
7383877	7383891
7388295	7388311
7398126	7398134
7398632	7398645
7403526	7403541
7404278	7404287
7405240	7405254
7407394	7407412
7407777	7407793
7408560	7408573
7411117	7411133
7422206	7422220
7422759	7422775
7426041	7426056
7428842	7428857
7429007	7429025
7430074	7430079
7432096	7432106
7435350	7435361
7437573	7437588
7437684	7437698
7437986	7438004
7443461	7443471
7459339	7459350
7461094	7461109
7464728	7464742
7466011	7466025
7467810	7467827
7467976	7467992
7469132	7469148
7480007	7480024
7503382	7503398
7503548	7503565
7514748	7514764
7528876	7528889
7529871	7529888
7533187	7533200
7540663	7540670
7540673	7540678
7540791	7540809
7544192	7544209
7544624	7544640
7547805	7547818
7550292	7550308
7562903	7562924
7578479	7578492
7584370	7584382
7591395	7591412
7595671	7595676
7595680	7595685
7627632	7627648
7628435	7628440
7629765	7629770
7629775	7629780
7632956	7632978
7638896	7638902
7642900	7642910
7643435	7643449
7644139	7644152
7663613	7663628
7667276	7667290
7674852	7674862
7685067	7685084
7686121	7686138
7689403	7689417
7695522	7695532
7696449	7696454
7699805	7699823
7703996	7704010
7705829	7705846
7706694	7706712
7707051	7707067
7707706	7707721
7709364	7709382
7709786	7709793
7711227	7711240
7714578	7714592
7726947	7726952
7738753	7738764
7742942	7742947
7747631	7747650
7756028	7756048
7763511	7763526
7764698	7764712
7766097	7766115
7781963	7781977
7787923	7787929
7787932	7787938
7790092	7790105
7791759	7791775
7805729	7805735
7813571	7813590
7814688	7814704
7823016	7823024
7826017	7826033
7836568	7836584
7843614	7843623
7852454	7852472
7857694	7857699
7861601	7861616
7861650	7861663
7873700	7873718
7876357	7876374
7879802	7879820
7883534	7883546
7887885	7887902
7890132	7890137
7896430	7896448
7900141	7900146
7913140	7913158
7916692	7916706
7916770	7916782
7922365	7922382
7924114	7924133
7927820	7927838
7933494	7933510
7948248	7948260
7948691	7948710
7962777	7962782
7966608	7966621
7973939	7973950
7974385	7974404
7984019	7984025
7984028	7984033
7992772	7992782
8000796	8000807
8003529	8003541
8010223	8010242
8012923	8012936
8016472	8016487
8055527	8055535
8055878	8055893
8057072	8057087
8057236	8057255
8058585	8058600
8067325	8067345
8078705	8078720
8084562	8084579
8085903	8085912
8087613	8087629
8150063	8150075
8150314	8150319
8175830	8175844
8179301	8179317
8192504	8192519
8193981	8193995
8199953	8199970
8200926	8200936
8202940	8202955
8205586	8205603
8206471	8206491
8208932	8208950
8211802	8211814
8217600	8217613
8230696	8230713
8233216	8233228
8236936	8236952
8241585	8241596
8261357	8261369
8261534	8261547
8269810	8269815
8287820	8287834
8291034	8291054
8291793	8291808
8292440	8292455
8303598	8303611
8308581	8308615
8311760	8311777
8314548	8314564
8319476	8319497
8319587	8319604
8323469	8323488
8336655	8336667
8336872	8336890
8336929	8336944
8339751	8339769
8345340	8345354
8356557	8356576
8369367	8369384
8371713	8371724
8372119	8372133
8376485	8376497
8376539	8376552
8392038	8392059
8392067	8392089
8394379	8394394
8398785	8398800
8399840	8399853
8404202	8404218
8404586	8404604
8407684	8407695
8409902	8409919
8411609	8411626
8412768	8412782
8413051	8413070
8413846	8413860
8414056	8414070
8415388	8415402
8417145	8417150
8417197	8417208
8417775	8417797
8422236	8422251
8423539	8423558
8424314	8424329
8428513	8428527
8431587	8431604
8438948	8438960
8444427	8444441
8444735	8444752
8445393	8445409
8452311	8452320
8457160	8457166
8466091	8466115
8466706	8466719
8467729	8467741
8468687	8468693
8473847	8473865
8477003	8477009
8477011	8477017
8484974	8484990
8486057	8486063
8487001	8487014
8487046	8487055
8489380	8489394
8490772	8490789
8490811	8490817
8498886	8498903
8499682	8499687
8499689	8499695
8500464	8500480
8501260	8501274
8502056	8502069
8502837	8502853
8503633	8503646
8504428	8504444
8505225	8505238
8506021	8506034
8506815	8506832
8507610	8507625
8508392	8508407
8511108	8511121
8512944	8512956
8523273	8523278
8535017	8535030
8543086	8543103
8543926	8543940
8544250	8544255
8552876	8552894
8553210	8553220
8555300	8555314
8556987	8557000
8557922	8557938
8558846	8558860
8560963	8560968
8579982	8579999
8586694	8586709
8586860	8586875
8607524	8607539
8612031	8612043
8614518	8614527
8618874	8618888
8640816	8640823
8641252	8641268
8641356	8641362
8641366	8641371
8642516	8642522
8642525	8642531
8642571	8642585
8646280	8646296
8650543	8650556
8652330	8652344
8660416	8660433
8660471	8660482
8661759	8661773
8672225	8672235
8672237	8672242
8672704	8672721
8676656	8676667
8680917	8680937
8694066	8694084
8703899	8703906
8712786	8712802
8714154	8714176
8714212	8714223
8716531	8716545
8719492	8719515
8720879	8720895
8722898	8722911
8726710	8726724
8727770	8727785
8728798	8728808
8730959	8730980
8735767	8735784
8739158	8739169
8739524	8739540
8748936	8748943
8748972	8748992
8752089	8752103
8752780	8752790
8754823	8754840
8756801	8756817
8757313	8757326
8757737	8757758
8762303	8762320
8767711	8767727
8770032	8770045
8771066	8771079
8796281	8796295
8796341	8796357
8796552	8796568
8796689	8796708
8803812	8803827
8816020	8816034
8818922	8818941
8820210	8820226
8823244	8823258
8823513	8823529
8825399	8825415
8826045	8826059
8826143	8826156
8828062	8828077
8830523	8830540
8831748	8831765
8833371	8833394
8835077	8835094
8838673	8838687
8839242	8839256
8846429	8846435
8855830	8855842
8862111	8862127
8862276	8862292
8865365	8865380
8865547	8865552
8865554	8865559
8868264	8868286
8868631	8868649
8873536	8873552
8874166	8874181
8877516	8877532
8881369	8881375
8881377	8881383
8883286	8883303
8891223	8891235
8892891	8892909
8892956	8892974
8908670	8908685
8914095	8914106
8918733	8918749
8919109	8919127
8934125	8934146
8958134	8958150
8959949	8959962
8962712	8962719
8962804	8962819
8962915	8962928
8965744	8965756
8971262	8971278
8973401	8973416
8973492	8973507
8973600	8973615
8974827	8974839
8983506	8983524
8985494	8985508
8986815	8986827
8988902	8988919
8992147	8992166
8992683	8992702
8994521	8994534
8998790	8998805
8999708	8999713
9001768	9001784
9019963	9019968
9019970	9019975
9020615	9020631
9024643	9024662
9026072	9026084
9026972	9026988
9065501	9065521
9065879	9065887
9067916	9067940
9068418	9068433
9068480	9068498
9069573	9069593
9074200	9074206
9075167	9075180
9077044	9077063
9081096	9081114
9084986	9085006
9085117	9085122
9088194	9088207
9117020	9117034
9124903	9124911
9125776	9125783
9132704	9132716
9136320	9136326
9137282	9137301
9139640	9139661
9143727	9143745
9162470	9162486
9162753	9162766
9165089	9165106
9170563	9170576
9172519	9172527
9172529	9172561
9173072	9173093
9174009	9174015
9174028	9174045
9174322	9174328
9175948	9175964
9176537	9176552
9178420	9178427
9198499	9198513
9199804	9199821
9207248	9207259
9217446	9217463
9218520	9218539
9219991	9220005
9220026	9220031
9226051	9226060
9228233	9228247
9263290	9263295
9277774	9277788
9279899	9279914
9284251	9284264
9299370	9299387
9307544	9307561
9309101	9309115
9309274	9309291
9309373	9309389
9315146	9315158
9328600	9328612
9334645	9334662
9354608	9354623
9367536	9367554
9368639	9368656
9372593	9372604
9389179	9389191
9389726	9389745
9393886	9393898
9411947	9411953
9423485	9423499
9448202	9448209
9452355	9452373
9471676	9471688
9476067	9476079
9488540	9488557
9506146	9506163
9508320	9508340
9511664	9511677
9521712	9521720
9524995	9525007
9530753	9530770
9530851	9530868
9531023	9531038
9532740	9532755
9541659	9541676
9556442	9556454
9560792	9560807
9563818	9563832
9568320	9568333
9576661	9576676
9579226	9579242
9588832	9588847
9588939	9588954
9589341	9589359
9590985	9590997
9599764	9599779
9600619	9600634
9606876	9606892
9608530	9608544
9620712	9620733
9621512	9621528
9624528	9624544
9628595	9628613
9637676	9637692
9638400	9638406
9651684	9651698
9653757	9653772
